chip_id,y,x,pre_class,post_class,damage_class,damage_label
0,0,0,Highway,Highway,0,No Damage
1,0,48,Highway,Highway,0,No Damage
2,0,96,Highway,Highway,0,No Damage
3,0,144,Annual Crop,Annual Crop,0,No Damage
4,0,192,Highway,Forest,1,Minor Damage
5,0,240,Highway,Highway,0,No Damage
6,0,288,Highway,Highway,0,No Damage
7,0,336,Highway,Annual Crop,1,Minor Damage
8,0,384,Annual Crop,Annual Crop,0,No Damage
9,0,432,Highway,Highway,0,No Damage
10,0,480,Highway,Forest,1,Minor Damage
11,0,528,Highway,Forest,1,Minor Damage
12,0,576,Highway,Forest,1,Minor Damage
13,0,624,Annual Crop,Annual Crop,0,No Damage
14,0,672,Highway,Forest,1,Minor Damage
15,0,720,Highway,Forest,1,Minor Damage
16,0,768,Highway,Highway,0,No Damage
17,0,816,Highway,Highway,0,No Damage
18,0,864,Annual Crop,Annual Crop,0,No Damage
19,0,912,Highway,Highway,0,No Damage
20,0,960,Highway,Highway,0,No Damage
21,48,0,Highway,Highway,0,No Damage
22,48,48,Highway,Highway,0,No Damage
23,48,96,Highway,Highway,0,No Damage
24,48,144,Annual Crop,Annual Crop,0,No Damage
25,48,192,Highway,Annual Crop,1,Minor Damage
26,48,240,Highway,Highway,0,No Damage
27,48,288,Highway,Highway,0,No Damage
28,48,336,Highway,Annual Crop,1,Minor Damage
29,48,384,Annual Crop,Forest,1,Minor Damage
30,48,432,Highway,Highway,0,No Damage
31,48,480,Highway,Highway,0,No Damage
32,48,528,Highway,Annual Crop,1,Minor Damage
33,48,576,Highway,Highway,0,No Damage
34,48,624,Annual Crop,Annual Crop,0,No Damage
35,48,672,Highway,Forest,1,Minor Damage
36,48,720,Highway,Forest,1,Minor Damage
37,48,768,Highway,Forest,1,Minor Damage
38,48,816,Highway,Annual Crop,1,Minor Damage
39,48,864,Annual Crop,Annual Crop,0,No Damage
40,48,912,Highway,Forest,1,Minor Damage
41,48,960,Highway,Forest,1,Minor Damage
42,96,0,Highway,Highway,0,No Damage
43,96,48,Highway,Highway,0,No Damage
44,96,96,Highway,Highway,0,No Damage
45,96,144,Annual Crop,Annual Crop,0,No Damage
46,96,192,Highway,Highway,0,No Damage
47,96,240,Highway,Highway,0,No Damage
48,96,288,Highway,Highway,0,No Damage
49,96,336,Highway,Annual Crop,1,Minor Damage
50,96,384,Annual Crop,Annual Crop,0,No Damage
51,96,432,Highway,Highway,0,No Damage
52,96,480,Highway,Highway,0,No Damage
53,96,528,Highway,Highway,0,No Damage
54,96,576,Highway,Annual Crop,1,Minor Damage
55,96,624,Annual Crop,Annual Crop,0,No Damage
56,96,672,Highway,Annual Crop,1,Minor Damage
57,96,720,Highway,Forest,1,Minor Damage
58,96,768,Highway,Forest,1,Minor Damage
59,96,816,Highway,Annual Crop,1,Minor Damage
60,96,864,Annual Crop,Annual Crop,0,No Damage
61,96,912,Highway,Annual Crop,1,Minor Damage
62,96,960,Highway,Annual Crop,1,Minor Damage
63,144,0,Highway,Highway,0,No Damage
64,144,48,Highway,Highway,0,No Damage
65,144,96,Annual Crop,Highway,1,Minor Damage
66,144,144,Annual Crop,Annual Crop,0,No Damage
67,144,192,Highway,Highway,0,No Damage
68,144,240,Highway,Highway,0,No Damage
69,144,288,Highway,Highway,0,No Damage
70,144,336,Annual Crop,Highway,1,Minor Damage
71,144,384,Annual Crop,Annual Crop,0,No Damage
72,144,432,Highway,Highway,0,No Damage
73,144,480,Highway,Highway,0,No Damage
74,144,528,Highway,Highway,0,No Damage
75,144,576,Annual Crop,Annual Crop,0,No Damage
76,144,624,Annual Crop,Annual Crop,0,No Damage
77,144,672,Highway,Highway,0,No Damage
78,144,720,Highway,Forest,1,Minor Damage
79,144,768,Highway,Annual Crop,1,Minor Damage
80,144,816,Highway,Annual Crop,1,Minor Damage
